"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","02.01.2017 21:00 - 02.01.2017 21:15 (CET/CEST)","0","121","182"
"BZN|NL","02.01.2017 21:15 - 02.01.2017 21:30 (CET/CEST)","0","94","191"
"BZN|NL","02.01.2017 21:30 - 02.01.2017 21:45 (CET/CEST)","0","102","224"
"BZN|NL","02.01.2017 21:45 - 02.01.2017 22:00 (CET/CEST)","0","102","236"
"BZN|NL","02.01.2017 22:00 - 02.01.2017 22:15 (CET/CEST)","0","164","245"
"BZN|NL","02.01.2017 22:15 - 02.01.2017 22:30 (CET/CEST)","0","111","239"
"BZN|NL","02.01.2017 22:30 - 02.01.2017 22:45 (CET/CEST)","0","61","204"
"BZN|NL","02.01.2017 22:45 - 02.01.2017 23:00 (CET/CEST)","0","96","225"
"BZN|NL","02.01.2017 23:00 - 02.01.2017 23:15 (CET/CEST)","0","106","207"
"BZN|NL","02.01.2017 23:15 - 02.01.2017 23:30 (CET/CEST)","0","126","225"
"BZN|NL","02.01.2017 23:30 - 02.01.2017 23:45 (CET/CEST)","0","87","272"
"BZN|NL","02.01.2017 23:45 - 03.01.2017 00:00 (CET/CEST)","0","82","288"
"BZN|NL","03.01.2017 00:00 - 03.01.2017 00:15 (CET/CEST)","0","161","306"
"BZN|NL","03.01.2017 00:15 - 03.01.2017 00:30 (CET/CEST)","0","159","311"
"BZN|NL","03.01.2017 00:30 - 03.01.2017 00:45 (CET/CEST)","0","178","343"
"BZN|NL","03.01.2017 00:45 - 03.01.2017 01:00 (CET/CEST)","0","130","296"
"BZN|NL","03.01.2017 01:00 - 03.01.2017 01:15 (CET/CEST)","0","140","253"
"BZN|NL","03.01.2017 01:15 - 03.01.2017 01:30 (CET/CEST)","0","181","294"
"BZN|NL","03.01.2017 01:30 - 03.01.2017 01:45 (CET/CEST)","0","180","335"
"BZN|NL","03.01.2017 01:45 - 03.01.2017 02:00 (CET/CEST)","0","178","361"
"BZN|NL","03.01.2017 02:00 - 03.01.2017 02:15 (CET/CEST)","0","181","335"
"BZN|NL","03.01.2017 02:15 - 03.01.2017 02:30 (CET/CEST)","0","181","333"
"BZN|NL","03.01.2017 02:30 - 03.01.2017 02:45 (CET/CEST)","0","203","339"
"BZN|NL","03.01.2017 02:45 - 03.01.2017 03:00 (CET/CEST)","0","203","327"
"BZN|NL","03.01.2017 03:00 - 03.01.2017 03:15 (CET/CEST)","0","196","287"
"BZN|NL","03.01.2017 03:15 - 03.01.2017 03:30 (CET/CEST)","0","184","254"
"BZN|NL","03.01.2017 03:30 - 03.01.2017 03:45 (CET/CEST)","0","174","256"
