"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","02.01.2018 22:30 - 02.01.2018 22:45 (CET/CEST)","0","746","648"
"BZN|NL","02.01.2018 22:45 - 02.01.2018 23:00 (CET/CEST)","0","748","651"
"BZN|NL","02.01.2018 23:00 - 02.01.2018 23:15 (CET/CEST)","0","743","636"
"BZN|NL","02.01.2018 23:15 - 02.01.2018 23:30 (CET/CEST)","0","744","623"
"BZN|NL","02.01.2018 23:30 - 02.01.2018 23:45 (CET/CEST)","0","743","622"
"BZN|NL","02.01.2018 23:45 - 03.01.2018 00:00 (CET/CEST)","0","743","626"
"BZN|NL","03.01.2018 00:00 - 03.01.2018 00:15 (CET/CEST)","0","744","636"
"BZN|NL","03.01.2018 00:15 - 03.01.2018 00:30 (CET/CEST)","0","743","639"
"BZN|NL","03.01.2018 00:30 - 03.01.2018 00:45 (CET/CEST)","0","743","651"
"BZN|NL","03.01.2018 00:45 - 03.01.2018 01:00 (CET/CEST)","0","743","653"
"BZN|NL","03.01.2018 01:00 - 03.01.2018 01:15 (CET/CEST)","0","734","646"
"BZN|NL","03.01.2018 01:15 - 03.01.2018 01:30 (CET/CEST)","0","743","651"
"BZN|NL","03.01.2018 01:30 - 03.01.2018 01:45 (CET/CEST)","0","743","653"
"BZN|NL","03.01.2018 01:45 - 03.01.2018 02:00 (CET/CEST)","0","743","631"
"BZN|NL","03.01.2018 02:00 - 03.01.2018 02:15 (CET/CEST)","0","742","651"
"BZN|NL","03.01.2018 02:15 - 03.01.2018 02:30 (CET/CEST)","0","743","649"
"BZN|NL","03.01.2018 02:30 - 03.01.2018 02:45 (CET/CEST)","0","741","667"
"BZN|NL","03.01.2018 02:45 - 03.01.2018 03:00 (CET/CEST)","0","723","677"
"BZN|NL","03.01.2018 03:00 - 03.01.2018 03:15 (CET/CEST)","0","724","656"
"BZN|NL","03.01.2018 03:15 - 03.01.2018 03:30 (CET/CEST)","0","723","666"
"BZN|NL","03.01.2018 03:30 - 03.01.2018 03:45 (CET/CEST)","0","722","657"
"BZN|NL","03.01.2018 03:45 - 03.01.2018 04:00 (CET/CEST)","0","718","631"
"BZN|NL","03.01.2018 04:00 - 03.01.2018 04:15 (CET/CEST)","0","711","649"
"BZN|NL","03.01.2018 04:15 - 03.01.2018 04:30 (CET/CEST)","0","654","673"
"BZN|NL","03.01.2018 04:30 - 03.01.2018 04:45 (CET/CEST)","0","534","673"
"BZN|NL","03.01.2018 04:45 - 03.01.2018 05:00 (CET/CEST)","0","715","667"
"BZN|NL","03.01.2018 05:00 - 03.01.2018 05:15 (CET/CEST)","0","731","658"
"BZN|NL","03.01.2018 05:15 - 03.01.2018 05:30 (CET/CEST)","0","732","647"
"BZN|NL","03.01.2018 05:30 - 03.01.2018 05:45 (CET/CEST)","0","733","655"
"BZN|NL","03.01.2018 05:45 - 03.01.2018 06:00 (CET/CEST)","0","726","676"
"BZN|NL","03.01.2018 06:00 - 03.01.2018 06:15 (CET/CEST)","0","692","674"
"BZN|NL","03.01.2018 06:15 - 03.01.2018 06:30 (CET/CEST)","0","712","672"
"BZN|NL","03.01.2018 06:30 - 03.01.2018 06:45 (CET/CEST)","0","692","671"
"BZN|NL","03.01.2018 06:45 - 03.01.2018 07:00 (CET/CEST)","0","721","664"
"BZN|NL","03.01.2018 07:00 - 03.01.2018 07:15 (CET/CEST)","0","727","647"
"BZN|NL","03.01.2018 07:15 - 03.01.2018 07:30 (CET/CEST)","0","734","665"
"BZN|NL","03.01.2018 07:30 - 03.01.2018 07:45 (CET/CEST)","0","742","642"
"BZN|NL","03.01.2018 07:45 - 03.01.2018 08:00 (CET/CEST)","0","734","630"
"BZN|NL","03.01.2018 08:00 - 03.01.2018 08:15 (CET/CEST)","0","717","649"
"BZN|NL","03.01.2018 08:15 - 03.01.2018 08:30 (CET/CEST)","0","711","666"
"BZN|NL","03.01.2018 08:30 - 03.01.2018 08:45 (CET/CEST)","0","688","671"
"BZN|NL","03.01.2018 08:45 - 03.01.2018 09:00 (CET/CEST)","0","670","674"
"BZN|NL","03.01.2018 09:00 - 03.01.2018 09:15 (CET/CEST)","0","624","671"
"BZN|NL","03.01.2018 09:15 - 03.01.2018 09:30 (CET/CEST)","0","600","667"
"BZN|NL","03.01.2018 09:30 - 03.01.2018 09:45 (CET/CEST)","0","555","669"
"BZN|NL","03.01.2018 09:45 - 03.01.2018 10:00 (CET/CEST)","0","541","666"
"BZN|NL","03.01.2018 10:00 - 03.01.2018 10:15 (CET/CEST)","0","541","637"
"BZN|NL","03.01.2018 10:15 - 03.01.2018 10:30 (CET/CEST)","0","541","568"
"BZN|NL","03.01.2018 10:30 - 03.01.2018 10:45 (CET/CEST)","0","540","514"
"BZN|NL","03.01.2018 10:45 - 03.01.2018 11:00 (CET/CEST)","0","541","480"
"BZN|NL","03.01.2018 11:00 - 03.01.2018 11:15 (CET/CEST)","0","541","436"
"BZN|NL","03.01.2018 11:15 - 03.01.2018 11:30 (CET/CEST)","0","541","382"
"BZN|NL","03.01.2018 11:30 - 03.01.2018 11:45 (CET/CEST)","0","541","384"
"BZN|NL","03.01.2018 11:45 - 03.01.2018 12:00 (CET/CEST)","0","541","398"
